ФИО;Дата рождения;Телефон рабочий;Кабинет;email;Глава подразделения;Должность;Подразделение
Кононов Август Германнович;29.04.1968;+7 (812) 849-39-84;527;кононов@гкдр.ру;false;Руководитель направления;1.8. Управление по обеспечению безопасности
Горбачёв Глеб Мэлсович;07.11.1974;+7 (626) 861-82-67;527;горбачёв@гкдр.ру;false;Руководитель направления;1.8. Управление по обеспечению безопасности
Беляев Тарас Владленович;15.07.2001;+7 (909) 176-65-42;527;беляев@гкдр.ру;false;Руководитель направления;1.8. Управление по обеспечению безопасности
Некрасова Лилу Константиновна;29.06.1995;+7 (885) 634-33-04;401;некрасова@гкдр.ру;false;Главный специалист;10. Управление Финансового планирования и контроля
Баранова Диана Леонидовна;28.01.1989;+7 (174) 853-49-83;401;баранова@гкдр.ру;false;Начальник управления;10. Управление Финансового планирования и контроля
Гришина Азалия Агафоновна;11.11.1999;+7 (017) 495-66-09;401;гришина@гкдр.ру;false;Специалист;10. Управление Финансового планирования и контроля
Архипова Наталья Юрьевна;06.09.1967;+7 (325) 282-73-59;401;архипова@гкдр.ру;false;Финансовый контролер;10. Управление Финансового планирования и контроля
Рожкова Мила Кирилловна;29.10.1969;+7 (644) 679-57-32;488;рожкова@гкдр.ру;false;Бухгалтер;11.1. Управление бухгалтерского и налогового учета
Богданова Эллада Георгиевна;28.05.1997;+7 (366) 341-61-81;488;богданова@гкдр.ру;false;Бухгалтер;11.1. Управление бухгалтерского и налогового учета
Яковлева Аделия Геласьевна;09.07.1960;+7 (990) 358-79-57;488;яковлева@гкдр.ру;false;Бухгалтер;11.1. Управление бухгалтерского и налогового учета
Соловьёва Габриэлла Созоновна;18.12.1969;+7 (298) 353-76-77;488;соловьёва@гкдр.ру;false;Бухгалтер;11.1. Управление бухгалтерского и налогового учета
Щукина Розалина Витальевна;04.05.1992;+7 (041) 888-17-81;488;щукина@гкдр.ру;false;Бухгалтер по расчету заработной платы;11.1. Управление бухгалтерского и налогового учета
Никитина Азалия Алексеевна;02.06.1983;+7 (379) 582-61-58;488;никитина@гкдр.ру;false;Ведущий бухгалтер;11.1. Управление бухгалтерского и налогового учета
Дроздова Береслава Максимовна;27.10.1962;+7 (812) 542-65-16;488;дроздова@гкдр.ру;false;Начальник управления - Заместитель главного бухгалтера;11.1. Управление бухгалтерского и налогового учета
Галкина Божена Филипповна;31.03.1974;+7 (120) 462-91-94;488;галкина@гкдр.ру;false;Старший бухгалтер;11.1. Управление бухгалтерского и налогового учета
Казакова Земфира Федосеевна;20.03.1967;+7 (312) 173-95-22;488;казакова@гкдр.ру;false;Старший бухгалтер;11.1. Управление бухгалтерского и налогового учета
Доронина Эдуарда Дмитрьевна;12.07.1972;+7 (398) 556-52-52;421;доронина@гкдр.ру;false;Специалист казначейства;11.2.1. Операционный отдел
Гурьева Фанни Андреевна;07.04.1965;+7 (192) 794-90-18;421;гурьева@гкдр.ру;false;Специалист казначейства;11.2.1. Операционный отдел
Кононова Нонна Анатольевна;03.03.1988;+7 (049) 956-85-86;421;кононова@гкдр.ру;false;Специалист казначейства;11.2.1. Операционный отдел
Блинова Милослава Андреевна;21.05.1969;+7 (134) 370-87-86;524;блинова@гкдр.ру;false;Начальник отдела;11.3. Финансово-экономический департамент
Щукина Владислава Альбертовна;04.02.1968;+7 (441) 380-03-70;524;щукина@гкдр.ру;false;Руководитель департамента - Главный бухгалтер;11.3. Финансово-экономический департамент
Громова Архелия Святославовна;26.08.1983;+7 (834) 538-57-98;524;громова@гкдр.ру;false;Специалист казначейства;11.3. Финансово-экономический департамент
Соколова Фанни Григорьевна;28.11.2002;+7 (787) 780-96-88;524;соколова@гкдр.ру;false;Специалист казначейства;11.3. Финансово-экономический департамент
Веселова Регина Натановна;27.05.1980;+7 (695) 489-78-71;523;веселова@гкдр.ру;false;Начальник финансово - экономического отдела;11.4. Финансово-экономическое управление
Субботина Инга Васильевна;17.08.1985;+7 (955) 709-44-45;523;субботина@гкдр.ру;false;Специалист;11.4. Финансово-экономическое управление
Исаков Аполлон Ефимович;02.05.1998;+7 (952) 550-14-44;421;исаков@гкдр.ру;false;Начальник управления;12.1. Управление нормативного обеспечения и договорной работы
Галкин Никифор Евсеевич;13.01.1975;+7 (270) 482-96-24;524;галкин@гкдр.ру;false;Директор департамента;12.2. Юридический департамент
Харитонова Ангелина Мэлоровна;21.06.1990;+7 (800) 847-84-22;524;харитонова@гкдр.ру;false;Заместитель директора департамента;12.2. Юридический департамент
Селезнёва Мэри Фроловна;22.12.2002;+7 (956) 710-49-22;477;селезнёва@гкдр.ру;false;Директор Академии;2.1. Академия Умные дороги
Филиппова Аза Николаевна;23.05.1989;+7 (163) 312-43-14;477;филиппова@гкдр.ру;false;Заместитель директора Академии по практической подготовке;2.1. Академия Умные дороги
Галкина Эрика Лукьяновна;26.11.1969;+7 (567) 060-46-69;404;галкина@гкдр.ру;false;Ведущий специалист;2.2. Отдел сетевых программ
Лихачёва Динара Георгьевна;04.12.1990;+7 (624) 064-06-24;404;лихачёва@гкдр.ру;false;Начальник отдела;2.2. Отдел сетевых программ
Лобанова Дебора Владимировна;25.06.1970;+7 (318) 827-54-60;404;лобанова@гкдр.ру;false;Специалист;2.2. Отдел сетевых программ
Коновалова Карина Анатольевна;25.07.1982;+7 (800) 239-60-38;404;коновалова@гкдр.ру;false;Специалист;2.2. Отдел сетевых программ
Дьячков Гордей Юрьевич;10.12.1992;+7 (462) 807-37-94;415;дьячков@гкдр.ру;false;Ведущий специалист;2.3. Проектно-аналитический отдел
Дементьев Людвиг Дмитриевич;30.10.1984;+7 (232) 050-93-59;415;дементьев@гкдр.ру;false;Главный специалист;2.3. Проектно-аналитический отдел
Тетерин Терентий Артёмович;25.03.1979;+7 (855) 470-76-70;415;тетерин@гкдр.ру;false;Начальник отдела;2.3. Проектно-аналитический отдел
Шарапов Нинель Артемович;29.05.2001;+7 (064) 865-03-57;415;шарапов@гкдр.ру;false;Специалист;2.3. Проектно-аналитический отдел
Быкова Роксалана Евгеньевна;10.05.1995;+7 (640) 077-77-65;479;быкова@гкдр.ру;false;Ведущий специалист по договорной работе;2.4. Учебно-организационный отдел
Карпова Берта Васильевна;26.01.1989;+7 (424) 549-00-75;479;карпова@гкдр.ру;false;Начальник отдела;2.4. Учебно-организационный отдел
Князева Эрида Михайловна;09.02.1985;+7 (476) 265-08-34;479;князева@гкдр.ру;false;Специалист;2.4. Учебно-организационный отдел
Боброва Анэля Григорьевна;19.07.1961;+7 (197) 497-66-92;479;боброва@гкдр.ру;false;Специалист;2.4. Учебно-организационный отдел
Ефремов Вальтер Платонович;12.03.1999;+7 (210) 001-40-01;Ресепшн;ефремов@гкдр.ру;false;Генеральный директор;3. Аппарат управления
Смирнов Аввакум Проклович;07.04.2001;+7 (234) 327-27-37;406А;смирнов@гкдр.ру;false;Заместитель генерального директора по внедрению стандартов;3. Аппарат управления
Сидорова Богдана Степановна;01.03.1992;+7 (333) 007-73-86;406А;сидорова@гкдр.ру;false;Заместитель генерального директора по исследованиям и разработкам;3. Аппарат управления
Медведева Анфиса Куприяновна;22.06.1968;+7 (352) 984-89-47;406А;медведева@гкдр.ру;false;Заместитель генерального директора по коммуникациям;3. Аппарат управления
Соколова Злата Донатовна;11.05.1976;+7 (263) 295-98-84;406А;соколова@гкдр.ру;false;Заместитель генерального директора по маркетингу и партнерским отношениям;3. Аппарат управления
Максимова Антонина Наумовна;29.09.1988;+7 (059) 049-11-97;406А;максимова@гкдр.ру;false;Заместитель генерального директора по организации корпоративов;3. Аппарат управления
Емельянова Лали Адольфовна;18.11.1974;+7 (643) 148-48-83;406А;емельянова@гкдр.ру;false;Заместитель генерального директора по подготовке кадров;3. Аппарат управления
Лобанов Андрей Владленович;13.05.1985;+7 (749) 358-03-33;406А;лобанов@гкдр.ру;false;Первый заместитель генерального директора;3. Аппарат управления
Бирюков Валерий Леонидович;20.08.1977;+7 (882) 562-21-24;Ресепшн;бирюков@гкдр.ру;false;Помощник генерального директора;3. Аппарат управления
Мельников Модест Тихонович;14.04.1961;+7 (480) 955-36-17;406А;мельников@гкдр.ру;false;Советник генерального директора по оперативному планированию;3. Аппарат управления
Рябов Влас Богданович;07.04.1978;+7 (673) 157-65-87;406А;рябов@гкдр.ру;false;Советник генерального директора по стратегическому развитию;3. Аппарат управления
Никифорова Любава Васильевна;21.02.1967;+7 (890) 112-51-51;406;никифорова@гкдр.ру;false;Заместитель директора департамента;4.1. Департамент коммуникаций
Денисова Веселина Демьяновна;19.01.1965;+7 (606) 810-72-96;489А;денисова@гкдр.ру;false;Руководитель направления;4.2.1. Отдел по организации и сопровождению мероприятий
Лобанова Георгина Евсеевна;02.03.1972;+7 (760) 683-71-57;406;лобанова@гкдр.ру;false;Руководитель направления;4.2.2. Отдел по работе с корпорациями
Калашникова Маргарита Адольфовна;25.03.1977;+7 (567) 984-10-59;404;калашникова@гкдр.ру;false;Начальник отдела;4.3.1. Отдел по работе со СМИ
Корнилов Давид Михайлович;12.05.1965;+7 (535) 508-09-63;404;корнилов@гкдр.ру;false;Руководитель направления;4.3.1. Отдел по работе со СМИ
Мишина Сабрина Всеволодовна;05.11.1979;+7 (123) 099-67-67;489А;мишина@гкдр.ру;false;Руководитель направления;4.3.2. Отдел цифровых коммуникаций
Давыдова Крис Алексеевна;21.05.1967;+7 (086) 732-87-28;489А;давыдова@гкдр.ру;false;Специалист;4.3.2. Отдел цифровых коммуникаций
Тетерина Сабрина Евсеевна;30.10.1983;+7 (305) 078-20-93;489А;тетерина@гкдр.ру;false;Специалист технического сопровождения;4.3.2. Отдел цифровых коммуникаций
Мишина Зоряна Семёновна;17.05.1980;+7 (941) 758-60-21;489А;мишина@гкдр.ру;false;Руководитель управления;4.3.3. Управление Пресс-службы
Филиппова Ирэн Рудольфовна;03.04.2002;+7 (791) 893-63-24;406;филиппова@гкдр.ру;false;Заместитель директора департамента;5.1. Департамент маркетинга и партнерских отношений
Сорокина Виктория Альбертовна;27.06.1965;+7 (256) 543-71-97;489А;сорокина@гкдр.ру;false;Руководитель направления;5.2.1. Лицензионный отдел
Фролова Эрида Юлиановна;24.12.1964;+7 (382) 787-58-02;489А;фролова@гкдр.ру;false;Руководитель проекта по разработке дизайна;5.2.2. Управление маркетинга
Дементьева Дарьяна Пантелеймоновна;06.08.1977;+7 (772) 653-55-16;410Б;дементьева@гкдр.ру;false;Руководитель направления;5.3.1. Отдел по  привлечению новых клиентов
Денисова Эдилия Святославовна;29.07.1983;+7 (661) 640-32-15;410Б;денисова@гкдр.ру;false;Руководитель проекта по рекламе;5.3.1. Отдел по  привлечению новых клиентов
Борисова Варвара Богуславовна;25.10.1988;+7 (625) 163-29-48;410Б;борисова@гкдр.ру;false;Руководитель проектов;5.3.1. Отдел по  привлечению новых клиентов
Сафонова Алина Михайловна;15.07.1993;+7 (949) 247-53-70;402Б;сафонова@гкдр.ру;false;Руководитель направления;5.3.2. Отдел по организации мероприятий
Моисеев Павел Витальевич;29.03.1990;+7 (395) 842-89-60;411;моисеев@гкдр.ру;false;Руководитель направления;5.4. Управление по развитию партнерских отношений
Денисова Альжбета Валерьевна;29.06.1967;+7 (405) 652-62-30;411;денисова@гкдр.ру;false;Руководитель направления;5.4. Управление по развитию партнерских отношений
Калинина Лариса Улебовна;14.04.1975;+7 (459) 094-61-74;402Б;калинина@гкдр.ру;false;Менеджер проектов;6. Департамент по организации корпоративов
Громова Роксалана Егоровна;17.03.1961;+7 (790) 385-88-79;402Б;громова@гкдр.ру;false;Руководитель проектов;6. Департамент по организации корпоративов
Авдеева Лика Лаврентьевна;15.10.1969;+7 (905) 571-85-23;402Б;авдеева@гкдр.ру;false;Специалист;6. Департамент по организации корпоративов
Фадеева Юлиана Святославовна;22.02.1966;+7 (325) 978-22-94;401;фадеева@гкдр.ру;false;Главный специалист;7. Департамент по работе с персоналом
Королёва Диана Созоновна;01.04.1979;+7 (198) 515-56-04;401;королёва@гкдр.ру;false;Директор департамента;7. Департамент по работе с персоналом
Михеева Георгина Борисовна;03.07.1983;+7 (951) 095-81-15;401;михеева@гкдр.ру;false;Специалист;7. Департамент по работе с персоналом
Михеева Георгина Борисовна;28.05.1971;+7 (818) 456-17-32;401;михеева@гкдр.ру;false;Специалист по охране труда;7. Департамент по работе с персоналом
Савельева Диша Данииловна;28.01.1986;+7 (145) 189-60-52;410Б;савельева@гкдр.ру;false;Директор департамента;8. Департамент по работе с промышленностью
Щербакова Лира Витальевна;26.03.1965;+7 (066) 097-49-63;410Б;щербакова@гкдр.ру;false;Руководитель направления;8. Департамент по работе с промышленностью
Калинина Радмила Пётровна;29.12.1960;+7 (041) 340-67-42;410Б;калинина@гкдр.ру;false;Руководитель проектов;8. Департамент по работе с промышленностью
Харитонова Видана Николаевна;07.09.1962;+7 (686) 601-90-65;410Б;харитонова@гкдр.ру;false;Руководитель проектов;8. Департамент по работе с промышленностью
Рожкова Сильвия Мартыновна;18.10.1974;+7 (141) 793-69-11;410Б;рожкова@гкдр.ру;false;Руководитель проектов;8. Департамент по работе с промышленностью
Нестерова Данна Игнатьевна;28.12.1982;+7 (383) 545-59-27;487;нестерова@гкдр.ру;false;Руководитель проекта;9.1. Аналитический отдел
Корнилова Ангелина Алексеевна;07.06.1977;+7 (195) 929-02-05;487;корнилова@гкдр.ру;false;Руководитель проекта;9.1. Аналитический отдел
Аксёнова Мирра Григорьевна;28.12.1978;+7 (614) 995-85-89;487;аксёнова@гкдр.ру;false;Специалист;9.1. Аналитический отдел
Фадеева Влада Семёновна;17.02.1987;+7 (060) 326-14-90;421;фадеева@гкдр.ру;false;Руководитель проекта;9.2. Отдел проектного управления
Кононова Майя Максовна;10.12.1979;+7 (673) 181-26-22;421;кононова@гкдр.ру;false;Руководитель проекта;9.2. Отдел проектного управления
